;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_description/ammo_factory_lowcaliber_adv_uranium_molt;Produces advanced depleted uranium low caliber ammunition;;;;Produziert fortschrittliche Kleinkalibermunition mit abgereichertem Uran;;;生产高级贫铀小口径弹药;;
gui/hud/building_description/ammo_factory_lowcaliber_ext;Upgrades low caliber ammunition to top end standard;;;;Verbessert Kleinkalibermunition auf Spitzenstandard;;;将小口径弹药升级至顶级标准;;
gui/hud/building_description/ammo_factory_lowcaliber_ext_molt;Upgrades low caliber ammunition to top end standard;;;;Verbessert Kleinkalibermunition auf Spitzenstandard;;;将小口径弹药升级至顶级标准;;
gui/hud/building_description/ammo_factory_lowcaliber_highcaliber;Produces basic low and light caliber ammunition;;;;Produziert einfache Kleinkalibermunition;;;生产基础小口径和大口径弹药;;
gui/hud/building_description/ammo_storage_energy;Stores portable energy cells for mech weapons;;;;Lagert tragbare Energiezellen für Mech-Waffen;;;存储用于机甲武器的便携式能量电池;;
gui/hud/building_description/ammo_storage_explosive;Stores explosive ammunition;;;;Lagert Sprengstoffmunition;;;存储爆炸弹药;;
gui/hud/building_description/ammo_storage_highcaliber;Stores large caliber ammunition;;;;Lagert Großkalibermunition;;;存储大口径弹药;;
gui/hud/building_description/ammo_storage_liquid;Stores liquid ammunition;;;;Lagert Flüssigmunition;;;存储液体弹药;;
gui/hud/building_description/ammo_storage_lowcaliber;Stores low caliber ammunition;;;;Lagert Kleinkalibermunition;;;存储小口径弹药;;
gui/hud/building_description/ammonium_extractor;Extracts ammonium from nitric acid;;;;Gewinnt Ammonium aus Salpetersäure;;;从硝酸中提取铵;;
gui/hud/building_description/ammonium_synthesizer;Synthesizes ammonium from atmospheric nitrogen via the Haber-process. Flammable gas serves serves as hydrogen source.;;;;Synthetisiert Ammonium aus atmosphärischem Stickstoff mittels des Haber-Verfahrens. Entzündliches Gas dient als Wasserstoffquelle.;;;通过哈柏法从大气氮中合成铵。可燃气体作为氢源。;;
gui/hud/building_description/ammonium_synthesizer_lvl_2;Improves the Haber process by cleaning the gas from sulfur residuals using water;;;;Verbessert das Haber-Verfahren, indem das Gas mit Wasser von Schwefelrückständen gereinigt wird;;;通过使用水清除气体中的硫残留物，改进哈柏法。;;
gui/hud/building_description/bio_cobalt_refinery;Refines cobalt from bio-compounds and reagent fluid;;;;Raffiniert Kobalt aus Bioverbindungen und Reagenzflüssigkeit;;;从生物化合物和试剂液中精炼钴;;
gui/hud/building_description/bio_palladium_refinery;Refines palladium from bio-composites and plasma;;;;Raffiniert Palladium aus Biokompositen und Plasma;;;从生物复合物和等离子体中精炼钯;;
gui/hud/building_description/bio_titanium_refinery;Refines titanium from bio-compounds and reagent fluid;;;;Raffiniert Titan aus Bioverbindungen und Reagenzflüssigkeit;;;从生物化合物和试剂液中精炼钛;;
gui/hud/building_description/bio_uranium_ore_refinery;Refines uranium ore from bio-compounds and nitric acid;;;;Raffiniert Uranerz aus Bioverbindungen und Salpetersäure;;;从生物化合物和硝酸中精炼铀矿;;
gui/hud/building_description/biomass_morphed_press;Extracts morphium from morphed biomass;;;;Gewinnt Morphium aus gemorphter Biomasse;;;从变异生物质中提取形变液;;
gui/hud/building_description/biomass_mycelium_press;Extracts fluorine from fluorine rich mycelium;;;;Gewinnt Fluor aus fluorhaltigem Myzel;;;从富含氟的菌丝体中提取氟;;
gui/hud/building_description/biomass_oil_press;Extracts petroleum from biooil rich biomass;;;;Gewinnt Erdöl aus bioölhaltiger Biomasse;;;从富含生物油的生物质中提取石油;;
gui/hud/building_description/biomass_plant_press;Extracts sludge from plant biomass;;;;Gewinnt Schlamm aus pflanzlicher Biomasse;;;从植物生物质中提取污泥;;
gui/hud/building_description/biomass_water_press;Extracts sludge from biooil;;;;Gewinnt Schlamm aus Bioöl;;;从生物油中提取污泥;;
gui/hud/building_description/bioreactor;Uses biological processes to decompose mud into sludge;;;;Zersetzt Schlamm mithilfe biologischer Prozesse zu Schlamm;;;利用生物过程将泥浆分解为污泥;;
gui/hud/building_description/blast_furnace;Produces molten metal out of refined ironium;;;;Stellt geschmolzenes Metall aus raffiniertem Ironium her;;;从精炼铁中生产熔融金属;;
gui/hud/building_description/carbonium_powerplant_renewable;Must be built on top of Carbonium ore deposit. Reagent renders the deposit renewable and does not consume it. Can use only unrefined Carbonium straight from the ground.;;;;Muss auf einem Carbonium-Erzvorkommen errichtet werden. Reagenz macht die Lagerstätte erneuerbar und verbraucht sie nicht. Kann nur unraffiniertes Carbonium direkt aus dem Boden verwenden.;;;必须建造在碳矿床上。试剂使矿床可再生且不会消耗它。只能使用直接从地下开采的未精炼碳。;;
gui/hud/building_description/carbonizer;Synthethise carbon from carbon rich gases or liquids;;;;Synthesiert Kohlenstoff aus kohlenstoffreichen Gasen oder Flüssigkeiten;;;从富含碳的气体或液体中合成碳;;
gui/hud/building_description/crystalizer_ferdonite;Crystallizes Ferdonite from Carbonium and Water. Requires carbonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Ferdonit aus Carbonium und Wasser. Benötigt Carbonium-Lagerstätte als Kristallkeim, verbraucht die Lagerstätte jedoch nicht.;;;从碳和水结晶出铁白云石。需要碳矿床作为晶种，但不消耗矿床。;;
gui/hud/building_description/crystalizer_ferdonite_lvl_2;Crystallizes Ferdonite from Carbonium Water and Super-coolant Requires carbonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Ferdonit aus Carbonium-Wasser und Superkühlmittel. Benötigt Carbonium-Lagerstätte als Kristallkeim, verbraucht die Lagerstätte jedoch nicht.;;;从碳、水和超级冷却剂中结晶出铁白云石。需要碳矿床作为晶种，但不消耗矿床。;;
gui/hud/building_description/crystalizer_ferdonite_lvl_3;Crystallizes Ferdonite from Carbonium Water and Super-coolant Requires carbonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Ferdonit aus Carboniumwasser und Superkühlmittel. Benötigt eine Carboniumlagerstätte als Kristallkeim, verbraucht die Lagerstätte jedoch nicht.;;;从碳、水和超级冷却剂中结晶出铁白云石。需要碳矿床作为晶种，但不消耗矿床。;;
gui/hud/building_description/crystalizer_hazenite;Crystallizes Hazenite from Ironium and Fluorine. Requires ironium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Hazenit aus Ironium und Fluor. Benötigt eine Ironiumlagerstätte als Kristallkeim, verbraucht die Lagerstätte jedoch nicht.;;;从铁和氟中结晶出黑森矿。需要铁矿床作为晶种，但不消耗矿床。;;
gui/hud/building_description/crystalizer_hazenite_lvl_2;Crystallizes Hazenite from Ironium Fluorine and Reagent. Requires ironium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Hazenit aus Ironium, Fluor und Reagenz. Benötigt eine Ironiumlagerstätte als Kristallkeim, verbraucht die Lagerstätte jedoch nicht.;;;从铁、氟和试剂中结晶出黑森矿。需要铁矿床作为晶种，但不消耗矿床。;;
gui/hud/building_description/crystalizer_hazenite_lvl_3;Crystallizes Hazenite from Ironium Fluorine and Reagent. Requires ironium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Hazenit aus Ironium, Fluor und Reagenz. Benötigt Ironium-Ablagerung als Kristallkeim, verbraucht die Ablagerung jedoch nicht.;;;从铁、氟和试剂中结晶出黑森矿。需要铁矿床作为晶种，但不消耗矿床。;;
gui/hud/building_description/crystalizer_rhodonite;Crystallizes Rhodonite from Ironium and Fluorine. Requires carbonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Rhodonit aus Ironium und Fluor. Benötigt Carbonium-Ablagerung als Kristallkeim, verbraucht die Ablagerung jedoch nicht.;;;从铁和氟中结晶出蔷薇辉石。需要碳矿床作为晶种，但不消耗矿床。;;
gui/hud/building_description/crystalizer_rhodonite_lvl_2;Crystallizes Rhodonite from Ironium Fluorine and Nitric Acid. Requires carbonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Rhodonit aus Ironium, Fluor und Salpetersäure. Benötigt Carbonium-Ablagerung als Kristallkeim, verbraucht die Ablagerung jedoch nicht.;;;从铁、氟和硝酸中结晶出蔷薇辉石。需要碳矿床作为晶种，但不消耗矿床。;;
gui/hud/building_description/crystalizer_rhodonite_lvl_3;Crystallizes Rhodonite from Ironium Fluorine and Nitric Acid. Requires carbonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Rhodonit aus Ironium, Fluor und Salpetersäure. Benötigt Carbonium-Vorkommen als Kristallkeim, verbraucht das Vorkommen jedoch nicht.;;;从铁、氟和硝酸中结晶出蔷薇辉石。需要碳矿床作为晶种，但不消耗矿床。;;
gui/hud/building_description/crystalizer_tanzanite;Crystallizes Tanzanite from Ammonium and Flammable Gas. Requires ammonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Tansanit aus Ammonium und brennbarem Gas. Benötigt Ammonium-Vorkommen als Kristallkeim, verbraucht das Vorkommen jedoch nicht.;;;从铵和可燃气体中结晶出坦桑石。需要铵矿床作为晶种，但不消耗矿床。;;
gui/hud/building_description/crystalizer_tanzanite_lvl_2;Crystallizes Tanzanite from Ammonium Flammable Gas and Plasma. Requires ammonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Tansanit aus Ammonium, brennbarem Gas und Plasma. Benötigt Ammonium-Vorkommen als Kristallkeim, verbraucht das Vorkommen jedoch nicht.;;;从铵、可燃气和等离子体中结晶出坦桑石。需要铵矿床作为晶种，但不消耗矿床。;;
gui/hud/building_description/crystalizer_tanzanite_lvl_3;Crystallizes Tanzanite from Ammonium Flammable Gas and Plasma. Requires ammonium deposit as crystal seed but does not consume the deposit.;;;;Kristallisiert Tansanit aus Ammonium, brennbarem Gas und Plasma. Benötigt Ammoniumvorkommen als Kristallkeim, verbraucht das Vorkommen jedoch nicht.;;;从铵、可燃气和等离子体中结晶出坦桑石。需要铵矿床作为晶种，但不消耗矿床。;;
gui/hud/building_description/energy_connector_armored;An armored but more expensive variant of the energy connector;;;;Eine gepanzerte, aber teurere Variante des Energieverbinders;;;能量连接器的装甲但更昂贵的变体;;
gui/hud/building_description/energy_connector_water;Energy connector on platform that can be placed on liquids pools;;;;Energieverbinder auf einer Plattform, die auf Flüssigkeitsbecken platziert werden kann;;;平台上的能量连接器，可放置在液体池上;;
gui/hud/building_description/energy_storage_new;A battery that balances the energy gird improving nearby power production Best used with intermittent power sources like Solar Panels to create an energy buffer.;;;;Eine Batterie, die das Energienetz ausgleicht und die Stromerzeugung in der Umgebung verbessert. Am besten in Verbindung mit intermittierenden Energiequellen wie Solarpanels einsetzbar, um einen Energiespeicher zu schaffen.;;;能源储存设施。可以增强风能、太阳能。;;
gui/hud/building_description/fire_control_station;Powers up/down defense buildings depending on if enemies are in vicinity or not;;;;Schaltet Verteidigungsgebäude ein oder aus, je nachdem, ob sich Feinde in der Nähe befinden oder nicht;;;根据附近是否有敌人来启动/关闭防御建筑;;
gui/hud/building_description/fire_control_station_artillery;Powers up/down long range artillery towers depending on if enemies are in vicinity or not. Much wieder detection range then regular fire control stations;;;;Schaltet Langstrecken-Artillerietürme ein oder aus, je nachdem, ob sich Feinde in der Nähe befinden oder nicht. Viel größere Erkennungsreichweite als normale Feuerleitstellen;;;根据附近是否有敌人来启动/关闭远程炮塔。检测范围比普通火力控制站大得多;;
gui/hud/building_description/fluorine_trap;Captures atmospheric fluorine compounds from atmosphere;;;;Fängt Fluorverbindungen aus der Atmosphäre auf;;;从大气中捕获氟化合物;;
gui/hud/building_description/fluorine_trap_lvl_2;Captures atmospheric fluorine compounds from atmosphere. Improved for fluorine rich environments;;;;Fängt Fluorverbindungen aus der Atmosphäre auf. Optimiert für fluorreiche Umgebungen;;;从大气中捕获氟化合物。针对富含氟的环境进行了改进;;
gui/hud/building_description/fusion_powerplant_lvl_3_new;Very large energy output. Produces plasma resource as a byproduct. REQUIRES magnetic stabilizer for operation;;;;Sehr hohe Energieausbeute. Erzeugt als Nebenprodukt Plasma. BENÖTIGT einen magnetischen Stabilisator für den Betrieb;;;非常巨大的能量输出。副产物为等离子体资源。需要磁稳定器才能运行;;
gui/hud/building_description/gas_ionizer;Ionizes input gas into plasma;;;;Ionisiert das zugeführte Gas zu Plasma;;;将输入气体电离成等离子体;;
gui/hud/building_description/geoscanner;Provides detailed mappings of underground deposits. This increases yield of nearby geothermal & gas and liquid extractors;;;;Liefert detaillierte Kartierungen unterirdischer Vorkommen. Dies steigert den Ertrag benachbarter Geothermie- sowie Gas- und Flüssigkeitsförderanlagen;;;提供地下矿藏的详细分布图。这能提升附近的地热、气体与液体提取器产量。;;
gui/hud/building_description/heat_charger;Uses extreme ambient heat to ionize air into supercharged plasma;;;;Nutzt extreme Umgebungswärme, um Luft zu hochenergetischem Plasma zu ionisieren;;;利用极端环境热量将空气电离成超级带电等离子体;;
gui/hud/building_description/heavy_water_plant;Separates heavy water and extracts deuterium from it;;;;Trennt schweres Wasser auf und gewinnt daraus Deuterium;;;分离重水并从中提取氘;;
gui/hud/building_description/heavy_water_reactor;A Nuclear Powerplant variant able to use unenriched raw uranium. Requires deuterium based heavy water as moderator and coolant;;;;Eine Variante eines Kernkraftwerks, die nicht angereichertes Rohuran verwenden kann. Benötigt deuteriumhaltiges Schwerwasser als Moderator und Kühlmittel;;;一座能够使用未富集的原生铀的核电站变体。需要使用基于氘的重水作为慢化剂和冷却剂。;;
gui/hud/building_description/ionizer_lvl_2;Ionizes gas into a hot plasma;;;;Ionisiert Gas zu heißem Plasma;;;将气体电离成热等离子体;;
gui/hud/building_description/ionizer_lvl_3;Ionizes gas into a hot plasma. Most efficient process uses palladium.;;;;Ionisiert Gas zu heißem Plasma. Der effizienteste Prozess verwendet Palladium.;;;将气体电离成热等离子体。最高效的工艺使用钯。;;
gui/hud/building_description/irradiator;Irradiates materials with high energy EM-radiation to produce radioactive isotopes then bundled into fissonium flux;;;;Bestrahlt Materialien mit hochenergetischer EM-Strahlung, um radioaktive Isotope zu erzeugen, die dann zu Fissionium-Fluss gebündelt werden;;;使用高能电磁辐射照射材料，以生产放射性同位素，随后将其封装成裂变通量束;;
gui/hud/building_description/large_solid_material_storage_basic;Storage building for all basic construction and ammunition production materials;;;;Lagergebäude für alle grundlegenden Bau- und Munitionsproduktionsmaterialien;;;存储所有基础建筑和弹药生产材料的大型仓库;;
gui/hud/building_description/large_solid_material_storage_other;Storage building for any other solid materials found and harvested on Galatea;;;;Lagergebäude für alle anderen festen Materialien, die auf Galatea gefunden und abgebaut werden;;;存储伽拉忒亚上发现和采集的任何其他固体材料的大型仓库;;
gui/hud/building_description/large_solid_material_storage_rare;Storage building for rare metals;;;;Lagergebäude für seltene Metalle;;;存储稀有金属的大型仓库;;
gui/hud/building_description/liquid_material_storage_large;Stores large quantities of liquid materials;;;;Lagert große Mengen an flüssigen Materialien;;;存储大量液体材料;;
gui/hud/building_description/liquid_material_storage_small;Stores liquid materials in a minimal space;;;;Lagert flüssige Materialien auf minimalem Raum;;;在最小空间内存储液体材料;;
gui/hud/building_description/liquid_pumpjack;Pumpjack able to pump liquids from deep wells;;;;Pumpjack, das Flüssigkeiten aus tiefen Brunnen pumpen kann;;;一台能够从深井中泵取液体的抽油机。;;
gui/hud/building_description/magnetic_stabilizer;Magnetic Stabilizers that are necessary to open long-range portal in the Rift Station. The Stabilizer negates the irregularities in the electromagnetic field from which also fusion reactors and plasma convertors benefit by an increased +25% yield;;;;Magnetische Stabilisatoren, die zum Öffnen eines Fernportals in der Rift-Station erforderlich sind. Der Stabilisator gleicht die Unregelmäßigkeiten im elektromagnetischen Feld aus, wovon auch Fusionsreaktoren und Plasmakonverter durch einen um +25 % erhöhten Ertrag profitieren;;;磁稳定器，用于在裂谷站打开远程传送门。稳定器可消除电磁场的不规则性，聚变反应堆和等离子体转换器也因此受益，产量增加+25%;;
gui/hud/building_description/magnetic_stabilizer_alien;A different approach to the problem of stabilizing the Rift Station Portal. Emulating the behavioral properties of magnetic boulders from which also fusion reactors and plasma convertors benefit by an increased +50% yield;;;;Ein anderer Ansatz zur Stabilisierung des Portals der Rift-Station. Emuliert die Verhaltenseigenschaften magnetischer Felsbrocken, von denen auch Fusionsreaktoren und Plasmakonverter durch einen um +50 % erhöhten Ertrag profitieren;;;解决稳定裂谷站传送门问题的另一种方法。模拟磁性巨石的行为特性，聚变反应堆和等离子体转换器也因此受益，产量增加+50%;;
gui/hud/building_description/mining_drill;Enables mining underground resource veins. Wastes 50% of ore deposit;;;;Ermöglicht den Abbau unterirdischer Rohstoffadern. Verschwendet 50 % der Erzvorkommen;;;可开采地下资源矿脉。浪费50%的矿石矿床;;
gui/hud/building_description/mining_drill_lvl_2;Enables mining underground resource veins. REQUIRES: ore mill to operate. Wastes 25% of ore deposit;;;;Ermöglicht den Abbau unterirdischer Rohstoffadern. VORAUSSETZUNG: Erzmühle für den Betrieb. Verschwendet 25 % der Erzvorkommen;;;可开采地下资源矿脉。需要矿石磨机才能运行。浪费25%的矿石矿床;;
gui/hud/building_description/mining_drill_lvl_3;Enables mining underground resource veins. REQUIRES: ore mill to operate. No waste;;;;Ermöglicht den Abbau unterirdischer Rohstoffadern. VORAUSSETZUNG: Erzmühle muss in Betrieb sein. Kein Abfall;;;可开采地下资源矿脉。需要矿石磨机才能运行。无浪费;;
gui/hud/building_description/moisture_trap;Captures moisture from the air and provides low amount of water;;;;Fängt Feuchtigkeit aus der Luft auf und liefert eine geringe Menge Wasser;;;从空气中捕获水分，提供少量水;;
gui/hud/building_description/morphium_factory;Synthetic production of Morphium from a mix of heavy radioactive isotopes contained in Fissonium Flux;;;;Synthetische Herstellung von Morphium aus einer Mischung schwerer radioaktiver Isotope, die in Fissonium-Flux enthalten sind;;;利用裂变通量束中所含的多种重放射性同位素混合物，人工合成变形素。;;
gui/hud/building_description/nitric_acid_refinery;Extracts nitric acid from biomatter;;;;Gewinnt Salpetersäure aus Biomaterie;;;从生物质中提取硝酸;;
gui/hud/building_description/nitric_acid_refinery_lvl_2;Extracts nitric acid from biomatter;;;;Gewinnt Salpetersäure aus Biomaterie;;;从生物质中提取硝酸;;
gui/hud/building_description/nitric_acid_refinery_lvl_3;Extracts nitric acid from biomatter;;;;Gewinnt Salpetersäure aus Biomaterie;;;从生物质中提取硝酸;;
gui/hud/building_description/nitrification_plant;Processes ammonium into nitric acid;;;;Verarbeitet Ammonium zu Salpetersäure;;;从动物生物质中提取硝酸盐;;
gui/hud/building_description/nitrification_plant_lvl_2;Processes ammonium into nitric acid;;;;Verarbeitet Ammonium zu Salpetersäure;;;从动物生物质中提取硝酸盐;;
gui/hud/building_description/nitrification_plant_lvl_3;Processes ammonium into nitric acid;;;;Verarbeitet Ammonium zu Salpetersäure;;;从动物生物质中提取硝酸盐;;
gui/hud/building_description/nitrification_site;Processes raw ammonium directly from deposits into nitric acid;;;;Verarbeitet Rohammonium direkt aus Lagerstätten zu Salpetersäure;;;将直接从矿藏中获取的原生铵盐加工成硝酸;;
gui/hud/building_description/offshore_wind_turbine;Larger wind turbine for offshore wind generation. Produces power when the wind blows;;;;Größere Windkraftanlage für die Offshore-Stromerzeugung. Erzeugt Strom, wenn der Wind weht;;;用于海上风力发电的大型风力涡轮机。在有风时即可发电。;;
gui/hud/building_description/ore_mill;The ore mill processed mined raw ore into minerals and therefore increasing yield of nearby strip and subsurface mines. Required by higher level mines for operation;;;;Die Erzmühle verarbeitete abgebautes Roherz zu Mineralien und steigerte dadurch den Ertrag benachbarter Tagebau- und Untertagebaubetriebe. Wird von Minen höherer Stufen für den Betrieb benötigt;;;矿石磨机将开采的原矿加工成矿物，从而提高附近露天矿和地下矿的产量。高级矿山需要它才能运行;;
gui/hud/building_description/ore_mill_lvl_2;The ore mill processed mined raw ore into minerals and therefore increasing yield of nearby strip and subsurface mines by +50%;;;;Die Erzmühle verarbeitet abgebautes Roherz zu Mineralien und erhöht dadurch den Ertrag benachbarter Tagebau- und Untertagebergwerke um +50 %;;;矿石磨机将开采的原矿加工成矿物，从而使附近露天矿和地下矿的产量提高+50%;;
gui/hud/building_description/ore_mill_lvl_3;The ore mill processed mined raw ore into minerals and therefore increasing yield of nearby strip and subsurface mines by +85%;;;;Die Erzmühle verarbeitet abgebautes Roherz zu Mineralien und erhöht dadurch den Ertrag benachbarter Tagebau- und Untertagebergwerke um +85 %;;;矿石磨机将开采的原矿加工成矿物，从而使附近露天矿和地下矿的产量提高+85%;;
gui/hud/building_description/ore_mill_lvl_4;The ore mill processed mined raw ore into minerals and therefore increasing yield of nearby strip and subsurface mines by +125%;;;;Die Erzmühle verarbeitet abgebautes Roherz zu Mineralien und erhöht dadurch den Ertrag benachbarter Tagebau- und Untertagebergwerke um +125 %;;;矿石磨机将开采的原矿加工成矿物，从而使附近露天矿和地下矿的产量提高+125%;;
gui/hud/building_description/petroleum_refinery;Refines petroleum into reagent and carbonium;;;;Verarbeitet Erdöl zu Reagenz und Carbonium;;;将石油精炼成试剂和碳;;
gui/hud/building_description/petroleum_refinery_lvl_2;Refines petroleum into reagent and flammable gas;;;;Verarbeitet Erdöl zu Reagenz und brennbarem Gas;;;将石油精炼成试剂和可燃气体;;
gui/hud/building_description/planet_defense;Expanded planetary scanner with orbital defense laser satellites;;;;Erweiterter Planetenscanner mit Laser-Satelliten zur Orbitalverteidigung;;;扩展的行星扫描仪，配备轨道防御激光卫星;;
gui/hud/building_description/plasma_converter_lvl_3_new;Converts Plasma into Supercharged Plasma by using large amounts of energy. REQUIRES magnetic stabilizer for operation;;;;Wandelt Plasma unter Einsatz großer Energiemengen in überladenes Plasma um. BENÖTIGT einen magnetischen Stabilisator für den Betrieb;;;通过使用大量能量将等离子体转化为超级带电等离子体。需要磁稳定器才能运行;;
gui/hud/building_description/plasma_physics;Basics of plasma physics includes the generation by gas ionization;;;;Zu den Grundlagen der Plasmaphysik gehört die Erzeugung durch Gasionisierung;;;等离子体物理学基础，包括通过气体电离产生等离子体;;
gui/hud/building_description/plasma_physics_lvl_2;Advanced ionization techniques allow for higher yield generation;;;;Fortgeschrittene Ionisierungstechniken ermöglichen eine höhere Ausbeute;;;高级电离技术可实现更高产量的等离子体产生;;
gui/hud/building_description/plasma_physics_lvl_3;Further optimization of ionization methods for maximum yield;;;;Weitere Optimierung der Ionisierungsmethoden für maximale Ausbeute;;;进一步优化电离方法以获得最大产量;;
